term,definition
calmodulin,regulatory protein that facilitates contraction in smooth muscles.
calvaria,"(also, skullcap) rounded top of the skull."
canaliculi,(singular = canaliculus) channels within the bone matrix that house one of an osteocyte’s many cytoplasmic extensions that it uses to communicate and receive nutrients.
capacitance,ability of a vein to distend and store blood.
capacitance vessels,veins.
capacitation,process that occurs in the female reproductive tract in which sperm are prepared for fertilisation; leads to increased motility and changes in their outer membrane that improve their ability to release enzymes capable of digesting an oocyte’s outer layers.
capillary,smallest of blood vessels where physical exchange occurs between the blood and tissue cells surrounded by interstitial fluid.
capillary bed,network of 10–100 capillaries connecting arterioles to venules.
capillary hydrostatic pressure (CHP),force blood exerts against a capillary.
capitate,"from the lateral side, the third of the four distal carpal bones; articulates with the scaphoid and lunate proximally, the trapezoid laterally, the hamate medially, and primarily with the third metacarpal distally."
capitulum,"knob-like bony structure located anteriorly on the lateral, distal end of the humerus."
capsaicin,molecule that activates nociceptors by interacting with a temperature-sensitive ion channel and is the basis for “hot” sensations in spicy food.
carbaminohemoglobin,"compound of carbon dioxide and haemoglobin, and one of the ways in which carbon dioxide is carried in the blood."
carbohydrate –,biological macromolecule in which the ratio of carbon to hydrogen and to oxygen is 1:2:1; carbohydrates serve as energy sources and structural support in cells and form arthropods’ cellular exoskeleton.
carbonic anhydrase (CA),enzyme that catalyses the reaction that causes carbon dioxide and water to form carbonic acid.
cardia,"(also, cardiac region) part of the stomach surrounding the cardiac orifice (oesophageal hiatus)."
cardiac cycle,period of time between the onset of atrial contraction (atrial systole) and ventricular relaxation (ventricular diastole).
cardiac muscle,"heart muscle, under involuntary control, composed of striated cells that attach to form fibres, each cell contains a single nucleus, contracts autonomously."
cardiac notch,depression in the medial surface of the inferior lobe of the left lung where the apex of the heart is located.
cardiac output (CO),volume of blood pumped by each ventricle during one minute; equals HR multiplied by SV.
cardiac plexus,paired complex network of nerve fibres near the base of the heart that receive sympathetic and parasympathetic stimulations to regulate HR.
cardiac reflexes,series of autonomic reflexes that enable the cardiovascular centres to regulate heart function based upon sensory information from a variety of visceral sensors.
cardiac reserve,difference between maximum and resting CO.
cardiac skeleton,"(also, skeleton of the heart) reinforced connective tissue located within the atrioventricular septum; includes four rings that surround the openings between the atria and ventricles, and the openings to the pulmonary trunk and aorta; the point of attachment for the heart valves."
cardiogenic area,area near the head of the embryo where the heart begins to develop 18–19 days after fertilisation.
cardiogenic cords,two strands of tissue that form within the cardiogenic area.
cardiogenic shock,type of shock that results from the inability of the heart to maintain cardiac output.
cardiomyocyte,muscle cell of the heart.
carotid canal,"zig-zag tunnel providing passage through the base of the skull for the internal carotid artery to the brain; begins anteromedial to the styloid process and terminates in the middle cranial cavity, near the posterior-lateral base of the sella turcica."
carotid sinuses,small pockets near the base of the internal carotid arteries that are the locations of the baroreceptors and chemoreceptors that trigger a reflex that aids in the regulation of vascular homeostasis.
carpal bone,"one of the eight small bones that form the wrist and base of the hand; these are grouped as a proximal row consisting of (from lateral to medial) the scaphoid, lunate, triquetrum, and pisiform bones, and a distal row containing (from lateral to medial) the trapezium, trapezoid, capitate, and hamate bones."
